Date,Open,High,Low,Close,Adj Close,Volume
2020-06-03,0.192283,0.195824,0.191579,0.194541,0.194541,14313939878
2020-06-04,0.194546,0.201372,0.194089,0.198500,0.198500,14644781625
2020-06-05,0.198575,0.198809,0.195110,0.196144,0.196144,14270100968
2020-06-06,0.196118,0.196929,0.193914,0.195498,0.195498,13298472804
2020-06-07,0.195499,0.197185,0.193320,0.196806,0.196806,14208812134
2020-06-08,0.196767,0.196846,0.193292,0.194860,0.194860,14111228699
2020-06-09,0.194817,0.195100,0.189936,0.193955,0.193955,13283004275
2020-06-10,0.193948,0.196299,0.192787,0.195571,0.195571,13830304633
2020-06-11,0.195574,0.196651,0.185063,0.186310,0.186310,13919601455
2020-06-12,0.186516,0.192376,0.185883,0.191424,0.191424,14805542107
2020-06-13,0.191445,0.193003,0.189937,0.192405,0.192405,14354494413
2020-06-14,0.192371,0.193999,0.189957,0.190694,0.190694,13165975805
2020-06-15,0.190621,0.191101,0.183182,0.188377,0.188377,15104707128
2020-06-16,0.188373,0.192838,0.185454,0.190001,0.190001,14991399877
2020-06-17,0.190242,0.189909,0.187361,0.189807,0.189807,14137298162
2020-06-18,0.189810,0.189777,0.186971,0.188834,0.188834,13094200390
2020-06-19,0.188801,0.189042,0.185264,0.185659,0.185659,13213064893
2020-06-20,0.185659,0.188040,0.184477,0.186568,0.186568,12068831109
2020-06-21,0.186557,0.188917,0.186132,0.186560,0.186560,12956628567
2020-06-22,0.186566,0.188952,0.186268,0.187478,0.187478,13151909897
2020-06-23,0.187478,0.188109,0.186198,0.187839,0.187839,12975474531
2020-06-24,0.187777,0.188652,0.180847,0.184034,0.184034,13511324860
2020-06-25,0.184078,0.184128,0.180665,0.182604,0.182604,12086629838
2020-06-26,0.182550,0.183346,0.178440,0.178390,0.178390,11443959945
2020-06-27,0.178396,0.179904,0.173521,0.174921,0.174921,11535841375
2020-06-28,0.174921,0.178578,0.172642,0.175856,0.175856,13059116916
2020-06-29,0.175874,0.176779,0.173826,0.174646,0.174646,13037419836
2020-06-30,0.174479,0.176897,0.173352,0.175259,0.175259,12515429721
2020-07-01,0.175269,0.179340,0.173917,0.177595,0.177595,11510640422
2020-07-02,0.175814,0.178098,0.172125,0.176844,0.176844,8296997746
2020-07-03,0.176824,0.177224,0.172197,0.172929,0.172929,8332370228
2020-07-04,0.172873,0.174730,0.170905,0.172463,0.172463,8156345390
2020-07-05,0.172275,0.173805,0.170039,0.172433,0.172433,8225246629
2020-07-06,0.172433,0.195740,0.171912,0.195141,0.195141,9856067221
2020-07-07,0.195037,0.244113,0.193966,0.231416,0.231416,21270412170
2020-07-08,0.231984,0.405742,0.229267,0.355953,0.355953,91937608556
2020-07-09,0.354611,0.375712,0.310951,0.330367,0.330367,38419021532
2020-07-10,0.330147,0.330147,0.258399,0.264173,0.264173,16942640099
2020-07-11,0.265189,0.294748,0.261231,0.286567,0.286567,11677813715
2020-07-12,0.286541,0.289018,0.271705,0.272797,0.272797,6581052651
2020-07-13,0.272797,0.273420,0.230058,0.238989,0.238989,10768639802
2020-07-14,0.238370,0.253773,0.230612,0.248156,0.248156,7774783209
2020-07-15,0.247590,0.248725,0.230879,0.231854,0.231854,5215456026
2020-07-16,0.231904,0.232809,0.217361,0.225157,0.225157,5898519580
2020-07-17,0.224901,0.230998,0.220730,0.229240,0.229240,5595248492
2020-07-18,0.229196,0.271803,0.226981,0.260088,0.260088,15285153682
2020-07-19,0.259423,0.281071,0.249323,0.253293,0.253293,8744000429
2020-07-20,0.253345,0.257338,0.236804,0.242138,0.242138,6057665274
2020-07-21,0.241559,0.246632,0.238445,0.246338,0.246338,5795622108
2020-07-22,0.246107,0.246289,0.240411,0.245110,0.245110,4062012735
2020-07-23,0.244951,0.247814,0.243777,0.246621,0.246621,4396696251
2020-07-24,0.246627,0.248651,0.237931,0.240583,0.240583,4402048158
2020-07-25,0.240570,0.246213,0.238318,0.241661,0.241661,4722854796
2020-07-26,0.241976,0.244325,0.237940,0.241819,0.241819,4679398942
2020-07-27,0.241793,0.242085,0.227270,0.235876,0.235876,6218969116
2020-07-28,0.235969,0.240921,0.234447,0.239486,0.239486,4725092769
2020-07-29,0.239527,0.244112,0.237547,0.238842,0.238842,4176002213
2020-07-30,0.238842,0.242936,0.236730,0.241588,0.241588,4000667639
2020-07-31,0.241454,0.242337,0.237708,0.241676,0.241676,4083477715
2020-08-01,0.241676,0.284480,0.240035,0.276389,0.276389,11291028088
2020-08-02,0.276938,0.279941,0.244735,0.249931,0.249931,7585418302
2020-08-03,0.249935,0.258888,0.247862,0.254726,0.254726,5030944155
2020-08-04,0.254699,0.267276,0.253591,0.265318,0.265318,5583556654
2020-08-05,0.265968,0.268056,0.260969,0.262744,0.262744,4971469973
2020-08-06,0.263089,0.272391,0.258920,0.266656,0.266656,4714779347
2020-08-07,0.266905,0.270826,0.256875,0.265050,0.265050,5176027563
2020-08-08,0.265120,0.265287,0.259082,0.263317,0.263317,4689836895
2020-08-09,0.263201,0.265046,0.257132,0.259821,0.259821,4277930816
2020-08-10,0.260206,0.266469,0.258839,0.262028,0.262028,5094437518
2020-08-11,0.261683,0.267223,0.249926,0.253276,0.253276,5860338295
2020-08-12,0.253465,0.264381,0.249948,0.260529,0.260529,5298580961
2020-08-13,0.260446,0.265803,0.251822,0.263120,0.263120,5484819519
2020-08-14,0.262907,0.267888,0.260257,0.266544,0.266544,4591186054
2020-08-15,0.266679,0.269994,0.261969,0.264943,0.264943,4813881678
2020-08-16,0.265019,0.265849,0.259651,0.263925,0.263925,3942740636
2020-08-17,0.263925,0.278346,0.262042,0.268423,0.268423,5802505822
2020-08-18,0.268530,0.277268,0.259869,0.262062,0.262062,4666282677
2020-08-19,0.261626,0.263869,0.252561,0.256698,0.256698,3996510995
2020-08-20,0.256708,0.262566,0.254217,0.259403,0.259403,3264776818
2020-08-21,0.259275,0.266361,0.253937,0.254242,0.254242,4542309160
2020-08-22,0.254191,0.258250,0.251333,0.257907,0.257907,3363190508
2020-08-23,0.257596,0.258704,0.253854,0.255799,0.255799,2958338226
2020-08-24,0.255490,0.259632,0.253431,0.253590,0.253590,3447822314
2020-08-25,0.253560,0.254699,0.240484,0.245328,0.245328,5703462609
2020-08-26,0.245063,0.248383,0.241295,0.245310,0.245310,5971829360
2020-08-27,0.245054,0.246241,0.233778,0.236277,0.236277,6628401869
2020-08-28,0.236281,0.239213,0.235422,0.239018,0.239018,4684389159
2020-08-29,0.238931,0.241364,0.237049,0.240015,0.240015,5714945715
2020-08-30,0.240127,0.244529,0.239428,0.241328,0.241328,5800982841
2020-08-31,0.241430,0.241909,0.235262,0.236513,0.236513,6269367131
2020-09-01,0.236446,0.239732,0.234576,0.237903,0.237903,5981486407
2020-09-02,0.238044,0.238610,0.224585,0.228729,0.228729,4149578679
2020-09-03,0.228729,0.229528,0.204948,0.205842,0.205842,4400072951
2020-09-04,0.205593,0.216631,0.201308,0.212313,0.212313,3913890000
2020-09-05,0.212380,0.214930,0.199214,0.202032,0.202032,4562937164
2020-09-06,0.202032,0.206117,0.198036,0.204255,0.204255,6563692780
2020-09-07,0.204278,0.208076,0.199034,0.206489,0.206489,7536241725
2020-09-08,0.207134,0.208147,0.199139,0.203327,0.203327,4216516175
2020-09-09,0.203524,0.205929,0.199486,0.203782,0.203782,5649921774
2020-09-10,0.204740,0.209788,0.202174,0.206281,0.206281,7667891115
2020-09-11,0.206281,0.207739,0.201527,0.206189,0.206189,9851545527
2020-09-12,0.205905,0.207991,0.204352,0.207118,0.207118,8605955050
2020-09-13,0.207118,0.207473,0.201733,0.203987,0.203987,9129984079
2020-09-14,0.203952,0.208770,0.201578,0.205711,0.205711,9433392442
2020-09-15,0.205446,0.211814,0.204359,0.208446,0.208446,7375328510
2020-09-16,0.208361,0.210255,0.205435,0.207841,0.207841,10926435654
2020-09-17,0.207730,0.210251,0.204679,0.207028,0.207028,11869436482
