Country_name,Country_code,Days,Cost_of _living(CL),Class,Ticket_price, CL(Rounded)
Russia,643,30,37871.69,0,47201,37872
Rwanda,646,30,32445.46,0,68016,32445
"Saint Helena, Ascension and Tristan da Cunha",654,30,61880.12,0,20294,61880
Saint Vincent and the Grenadines,670,30,60563.36,0,312709,60563
San Marino,674,30,63960.43,0,31214,63960
Saudi Arabia,682,30,63960.43,0,51388,63960
Senegal,686,30,51800.07,0,111087,51800
Serbia,688,30,36382.1,0,86750,36382
Seychelles,690,30,64062.71,0,87469,64063
Singapore,702,30,70691.2,0,79847,70691
Slovakia,703,30,46750.14,0,58907,46750
Somalia,706,30,33407.13,0,63722,33407
South Africa,710,30,43692.25,0,56121,43692
South Korea,82,30,72555.22,0,89883,72555
Spain,724,30,52526.1,0,59779,52526
Sri Lanka,144,30,26917.74,0,23000,26918
Sudan,736,30,40309.91,0,56772,40310
Suriname,740,30,47561.92,0,178819,47562
Sweden,752,30,69468.16,0,71233,69468
Switzerland,756,30,116365.41,0,57064,116365
Syrian Arab Republic,760,30,26859.5,0,108926,26860
Taiwan,158,30,59955.47,0,77684,59955
Tajikistan,762,30,29034.12,0,50818,29034
"Tanzania, United Republic of",834,30,34449.61,0,63276,34450
Thailand,764,30,40661.6,0,58849,40662
Timor-Leste,626,30,55392.69,0,82788,55393
Trinidad and Tobago,780,30,51420.87,0,85897,51421
Tunisia,788,30,26640.5,0,65573,26641
Turkey,792,30,30320.07,0,40501,30320
Turkmenistan,795,30,130303.42,0,42222,130303
Uganda,800,30,35179.9,0,65509,35180
Ukraine,804,30,30907.35,0,46772,30907
United Arab Emirates,784,30,61880.9,0,18722,61881
United Kingdom,826,30,65403.22,0,60585,65403
United States Of America,840,30,68323.41,0,61922,68323
Uruguay,858,30,49302.14,0,79401,49302
Uzbekistan,860,30,28145.43,0,61394,28145
Vanuatu,548,30,75324.16,0,22000,75324
Venezuela,862,30,37430.8,0,171655,37431
Vietnam,704,30,32664.95,0,65696,32665
Yemen,887,30,49811.41,0,0,49811
Zambia,894,30,35024.37,0,91367,35024
Zimbabwe,716,30,43567.52,0,90230,43568
Afghanistan,4,15,15086.23,1,54400,15086
Aland Islands,248,15,35919.005,1,433010,35919
Albania,8,15,17178.745,1,140201,17179
Algeria,12,15,13747.245,1,116874,13747
Andorra,20,15,29753.99,1,221880,29754
Angola,24,15,35800.75,1,16254,35801
Argentina,32,15,16303.265,1,293260,16303
Armenia,51,15,17086.22,1,22962,17086
Aruba,533,15,37722.615,1,31820,37723
Australia,36,15,35591.145,1,77890,35591
Austria,40,15,36239.315,1,113606,36239
Azerbaijan,31,15,15085.01,1,116659,15085
Bahamas,44,15,40695.85,1,251587,40696
Bahrain,48,15,28412.785,1,62901,28413
Bangladesh,50,15,14440.445,1,294036,14440
Barbados,52,15,41054.87,1,495061,41055
Belarus,112,15,15913.77,1,125818,15914
Belgium,56,15,34597.905,1,133558,34598
Belize,84,15,23123.22,1,207518,23123
Bermuda,60,15,67637.005,1,224374,67637
Bhutan,64,15,20097.02,1,245788,20097
Bolivia,68,15,17978.915,1,552034,17979
Bosnia and Herzegovina,70,15,18464.95,1,98040,18465
Botswana,72,15,19119.91,1,172946,19120
Bouvet Island,74,15,60353.945,1,254320,60354
Brazil,76,15,17056.005,1,200726,17056
Brunei Darussalam,96,15,23329.29,1,195000,23329
Bulgaria,100,15,18695.935,1,109306,18696
Burkina Faso,854,15,24864.4,1,182148,24864
Cambodia,116,15,21549.32,1,716466,21549
Cameroon,120,15,19432.09,1,184470,19432
Canada,124,15,32745.785,1,207862,32746
Chile,152,15,23613.965,1,200208,23614
